time,25,Average
1890,-9.607643312101937,-9.607643312101937
1891,-7.607643312101937,-7.607643312101937
1892,-6.707643312101936,-6.707643312101936
1893,-5.007643312101937,-5.007643312101937
1894,-4.607643312101937,-4.607643312101937
1895,-8.007643312101937,-8.007643312101937
1896,-7.707643312101936,-7.707643312101936
1897,-5.807643312101937,-5.807643312101937
1898,-1.8076433121019364,-1.8076433121019364
1899,-5.507643312101937,-5.507643312101937
1900,-9.007643312101937,-9.007643312101937
1901,-10.207643312101936,-10.207643312101936
1902,-11.207643312101936,-11.207643312101936
1903,0.8923566878980638,0.8923566878980638
1904,-6.007643312101937,-6.007643312101937
1905,-5.4076433121019365,-5.4076433121019365
1906,-2.6076433121019367,-2.6076433121019367
1907,-5.4076433121019365,-5.4076433121019365
1908,-8.107643312101937,-8.107643312101937
1909,-3.5076433121019366,-3.5076433121019366
1910,-2.3076433121019364,-2.3076433121019364
1911,-5.307643312101937,-5.307643312101937
1912,2.2923566878980637,2.2923566878980637
1913,-0.10764331210193633,-0.10764331210193633
1914,1.3923566878980638,1.3923566878980638
1915,-5.007643312101937,-5.007643312101937
1916,1.9923566878980639,1.9923566878980639
1917,-2.9076433121019365,-2.9076433121019365
1918,-1.0076433121019364,-1.0076433121019364
1919,-3.6076433121019367,-3.6076433121019367
1920,-2.9076433121019365,-2.9076433121019365
1921,-1.1076433121019365,-1.1076433121019365
1922,-2.8076433121019364,-2.8076433121019364
1923,1.5923566878980637,1.5923566878980637
1924,-1.5076433121019364,-1.5076433121019364
1925,4.192356687898064,4.192356687898064
1926,2.992356687898064,2.992356687898064
1927,1.3923566878980638,1.3923566878980638
1928,3.192356687898064,3.192356687898064
1929,-4.4076433121019365,-4.4076433121019365
1930,-1.2076433121019363,-1.2076433121019363
1931,0.8923566878980638,0.8923566878980638
1932,-0.5076433121019364,-0.5076433121019364
1933,-6.107643312101937,-6.107643312101937
1934,-3.1076433121019367,-3.1076433121019367
1935,2.092356687898064,2.092356687898064
1936,1.0923566878980637,1.0923566878980637
1937,-2.2076433121019363,-2.2076433121019363
1938,1.0923566878980637,1.0923566878980637
1939,-3.9076433121019365,-3.9076433121019365
1940,-3.3076433121019364,-3.3076433121019364
1941,-7.107643312101937,-7.107643312101937
1942,-3.5076433121019366,-3.5076433121019366
1943,1.0923566878980637,1.0923566878980637
1944,1.2923566878980637,1.2923566878980637
1945,1.4923566878980639,1.4923566878980639
1946,-0.8076433121019364,-0.8076433121019364
1947,-7.9076433121019365,-7.9076433121019365
1948,1.3923566878980638,1.3923566878980638
1949,3.192356687898064,3.192356687898064
1950,2.592356687898064,2.592356687898064
1951,0.4923566878980637,0.4923566878980637
1952,2.692356687898064,2.692356687898064
1953,-1.8076433121019364,-1.8076433121019364
1954,0.7923566878980637,0.7923566878980637
1955,0.4923566878980637,0.4923566878980637
1956,-3.7076433121019363,-3.7076433121019363
1957,0.8923566878980638,0.8923566878980638
1958,1.4923566878980639,1.4923566878980639
1959,-3.5076433121019366,-3.5076433121019366
1960,-0.007643312101936317,-0.007643312101936317
1961,8.192356687898064,8.192356687898064
1962,2.7923566878980637,2.7923566878980637
1963,-4.9076433121019365,-4.9076433121019365
1964,-3.6076433121019367,-3.6076433121019367
1965,3.492356687898064,3.492356687898064
1966,5.092356687898064,5.092356687898064
1967,11.292356687898064,11.292356687898064
1968,2.1923566878980636,2.1923566878980636
1969,2.092356687898064,2.092356687898064
1970,8.692356687898064,8.692356687898064
1971,0.8923566878980638,0.8923566878980638
1972,1.0923566878980637,1.0923566878980637
1973,7.192356687898064,7.192356687898064
1974,6.692356687898064,6.692356687898064
1975,1.5923566878980637,1.5923566878980637
1976,-1.8076433121019364,-1.8076433121019364
1977,4.492356687898064,4.492356687898064
1978,1.6923566878980638,1.6923566878980638
1979,3.8923566878980638,3.8923566878980638
1980,7.592356687898064,7.592356687898064
1981,9.992356687898065,9.992356687898065
1982,7.492356687898064,7.492356687898064
1983,12.392356687898065,12.392356687898065
1984,3.992356687898064,3.992356687898064
1985,3.992356687898064,3.992356687898064
1986,4.192356687898064,4.192356687898064
1987,1.2923566878980637,1.2923566878980637
1988,11.092356687898064,11.092356687898064
1989,5.892356687898064,5.892356687898064
1990,11.892356687898065,11.892356687898065
1991,-1.8076433121019364,-1.8076433121019364
1992,3.2923566878980637,3.2923566878980637
1993,2.692356687898064,2.692356687898064
1994,7.892356687898064,7.892356687898064
1995,7.692356687898064,7.692356687898064
1996,-7.107643312101937,-7.107643312101937
1997,1.4923566878980639,1.4923566878980639
1998,11.292356687898064,11.292356687898064
1999,10.392356687898065,10.392356687898065
2000,10.092356687898064,10.092356687898064
2001,9.092356687898064,9.092356687898064
2002,7.692356687898064,7.692356687898064
2003,6.292356687898064,6.292356687898064
2004,11.192356687898064,11.192356687898064
2005,8.192356687898064,8.192356687898064
2006,8.892356687898063,8.892356687898063
2007,14.592356687898064,14.592356687898064
2008,12.192356687898064,12.192356687898064
2009,7.592356687898064,7.592356687898064
2010,5.392356687898064,5.392356687898064
2011,11.992356687898065,11.992356687898065
2012,10.692356687898064,10.692356687898064
2013,6.392356687898064,6.392356687898064
2014,11.692356687898064,11.692356687898064
2015,16.392356687898065,16.392356687898065
2016,12.692356687898064,12.692356687898064
2017,17.292356687898064,17.292356687898064
2018,7.092356687898064,7.092356687898064
2019,16.392356687898065,16.392356687898065
2020,17.692356687898066,17.692356687898066
2021,14.092356687898064,14.092356687898064
